countryid,GDP_2020
698,532.5877710618644
699,803.5036489143992
700,708.7811509548337
701,4660.26840712307
702,99.33070183704538
703,1147.1436347907788
704,1393.5002053105995
705,342.071197313631
706,421.6573551693256
707,732.1442150402845
708,303.08363867647694
709,323.0828189689738
710,286.05924560107036
711,362.24845329260364
712,450.88850387373884
713,887.6783568823753
714,143.23449195003738
715,1011.0123426527614
716,353.43018359129996
717,321.2287400973658
718,179.47535612334823
719,497.6652966483189
720,790.6058989109446
721,275.08184971526606
722,186.02369327354288
723,260.20727492212063
724,187.4912605247792
725,157.45898342382083
726,392.7533488629201
727,314.8805916273962
728,269.0074603939149
729,334.9605039990516
730,37.30200198806795
731,104.02275991462429
732,240.7666564565749
733,550.0013216854225
734,365.58514369977087
735,282.9377354833157
736,348.7584943286729
737,528.709476607637
738,302.20944889579766
739,545.3372075910179
740,428.10918390820007
741,370.9208520871035
742,409.1580617896868
743,544.4039290923345
744,139.25546067859003
745,803.8272376678068
746,371.34528797350634
747,809.8410362408786
748,591.3538767473583
749,389.15456103374714
750,346.64821961183566
751,449.8277212903206
752,668.1689110962891
753,193.6770382990199
754,1391.3082540032092
755,673.4893987541292
756,658.7418429807491
757,443.41061425407844
758,335.41683556019706
759,201.89135951782796
760,301.9794511201232
761,618.3435626866784
762,443.7776247599454
763,436.4030169362783
764,304.3789833162765
765,381.2322784068847
766,388.09191039175136
767,92.1009203414196
768,182.6392909560317
769,824.0098792847426
770,521.6524216309581
771,589.7094520049675
772,202.43293055755032
773,177.8161461291635
774,76.56759930518078
775,485.33802140631406
1,27415.681706707426
2,1014.4389379500243
3,6552.041252014617
4,220.5132960453846
5,312.61768411387106
6,346.6428490591276
7,240.66427410949902
776,1682.5334883298021
777,4531.224793601026
778,430.7828956561103
779,221.1821125721463
780,360.0877579969371
781,480.6424237333335
782,37.97693031621676
783,1048.184715765206
784,436.1812812257762
785,1396.069102771005
786,81.2100363231545
787,1607.1974030137449
788,980.1275457245778
789,629.2957625912586
790,171.03426144259333
791,157.51274255064612
792,183.40913324477856
793,255.0097817417703
794,434.68046399489094
