country position,Hazard,starttime,endtime,Intensity
1874,coldwave,2011-03-17,2011-04-29,266.0
1874,extreme wind,2011-03-17,2011-03-23,24.0
1874,extreme wind,2015-02-23,2015-03-05,21.0
1874,heatwave,2015-02-24,2015-03-04,294.0
1874,extreme wind,2004-03-24,2004-03-31,22.0
1874,extreme wind,2015-04-17,2015-04-19,22.0
1874,heatwave,2013-02-21,2013-03-10,296.0
1875,heatwave,2013-02-05,2013-03-09,302.0
1875,extreme wind,2010-02-28,2010-03-07,18.0
1875,heatwave,2007-03-27,2007-04-04,299.0
1875,extreme wind,2009-02-09,2009-03-01,25.0
1875,coldwave,2016-01-21,2016-01-31,248.0
1875,extreme wind,2005-02-12,2005-02-21,20.0
1875,coldwave,2007-12-24,2008-02-25,246.0
1875,heatwave,2014-04-13,2014-04-27,302.0
1875,extreme wind,2015-02-23,2015-03-05,21.0
1875,heatwave,2016-08-11,2016-08-28,306.0
1875,extreme wind,2011-03-17,2011-03-23,24.0
1875,coldwave,2011-03-17,2011-04-29,266.0
1875,heatwave,2008-09-16,2008-09-26,301.0
1875,extreme wind,2005-02-22,2005-02-23,20.0
1875,heatwave,2010-03-19,2010-03-26,294.0
1875,extreme wind,2004-03-24,2004-03-31,22.0
1875,heatwave,2013-02-21,2013-03-10,296.0
1875,heatwave,2015-02-24,2015-03-04,294.0
1875,wildfire,2015-02-24,2015-03-07,15.433415369136029
1875,extreme wind,2013-02-13,2013-02-18,17.0
1876,extreme wind,2010-02-28,2010-03-07,18.0
1876,extreme wind,2009-02-09,2009-03-01,25.0
1876,heatwave,2013-02-05,2013-03-09,302.0
1876,extreme wind,2005-02-12,2005-02-21,20.0
1876,heatwave,2014-04-13,2014-04-27,302.0
1876,flood,2007-06-06,2007-08-17,1.5
1876,heatwave,2007-03-27,2007-04-04,299.0
1876,heatwave,2010-03-19,2010-03-26,294.0
1876,heatwave,2015-02-24,2015-03-04,294.0
1876,coldwave,2007-12-24,2008-02-25,246.0
1876,extreme wind,2011-03-17,2011-03-23,24.0
1876,heatwave,2013-02-21,2013-03-10,296.0
1876,extreme wind,2015-02-23,2015-03-05,21.0
1876,coldwave,2011-03-17,2011-04-29,266.0
1876,heatwave,2016-08-11,2016-08-28,306.0
1876,extreme wind,2005-02-22,2005-02-23,20.0
1876,extreme wind,2004-03-24,2004-03-31,22.0
1876,extreme wind,2013-02-13,2013-02-18,17.0
1876,heatwave,2008-09-16,2008-09-26,301.0
1877,heatwave,2014-04-13,2014-04-27,302.0
1877,flood,2007-07-18,2007-08-13,1.0
1877,heatwave,2013-02-05,2013-03-09,302.0
1877,coldwave,2011-03-17,2011-04-29,266.0
1877,heatwave,2010-02-21,2010-03-09,304.0
1877,extreme wind,2010-02-28,2010-03-07,18.0
1877,heatwave,2007-03-27,2007-04-04,299.0
1877,extreme wind,2011-03-17,2011-03-23,24.0
1877,heatwave,2008-09-16,2008-09-26,301.0
1877,extreme wind,2005-02-12,2005-02-21,20.0
1877,coldwave,2016-01-21,2016-01-31,248.0
1877,extreme wind,2009-02-09,2009-03-01,25.0
1877,flood,2007-06-06,2007-08-17,1.5
1877,extreme wind,2015-02-23,2015-03-05,21.0
1877,heatwave,2010-04-09,2010-04-15,297.0
1877,heatwave,2015-02-24,2015-03-04,294.0
1877,heatwave,2010-03-19,2010-03-26,294.0
1877,extreme wind,2005-02-22,2005-02-23,20.0
1877,extreme wind,2004-03-24,2004-03-31,22.0
1877,heatwave,2007-12-26,2008-01-27,287.0
1877,heatwave,2013-02-21,2013-03-10,296.0
1878,heatwave,2010-02-21,2010-03-09,304.0
1878,extreme wind,2005-02-22,2005-02-23,20.0
1878,heatwave,2014-04-13,2014-04-27,302.0
1878,coldwave,2016-01-21,2016-01-31,248.0
1878,extreme wind,2009-02-09,2009-03-01,25.0
1878,extreme wind,2005-02-12,2005-02-21,20.0
1878,heatwave,2007-03-27,2007-04-04,299.0
1878,extreme wind,2010-02-28,2010-03-07,18.0
1878,coldwave,2007-12-24,2008-02-25,246.0
1878,heatwave,2013-02-05,2013-03-09,302.0
1878,extreme wind,2015-04-17,2015-04-19,22.0
1878,flood,2007-06-06,2007-08-17,1.5
1878,extreme wind,2013-04-04,2013-04-06,17.0
1878,heatwave,2010-03-19,2010-03-26,294.0
1878,heatwave,2010-04-09,2010-04-15,297.0
1878,coldwave,2011-03-17,2011-04-29,266.0
1878,heatwave,2008-09-16,2008-09-26,301.0
1878,extreme wind,2013-02-13,2013-02-18,17.0
1878,flood,2007-07-18,2007-08-13,1.0
1878,extreme wind,2004-03-24,2004-03-31,22.0
1878,heatwave,2007-12-26,2008-01-27,287.0
1878,heatwave,2013-02-21,2013-03-10,296.0
1878,extreme wind,2015-03-31,2015-04-04,17.0
