,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
上海,0.655061953573856,0.618603874050109,0.594804034963318,0.574167761466557,0.55827932265286,0.56137824449459,0.577134412254067,0.61029665513356,0.697256419870096,0.831683591725998,0.898073715752487,0.921742278304267,0.932751605899885,0.94376192801471,0.94686084985644,0.943630651479695,0.946729573321425,0.937169260207,0.884888380137065,0.876911341596462,0.854692788045085,0.826146108794435,0.791269314806103,0.740571709309992
云南,0.632768361581921,0.612994350282486,0.584745762711864,0.584745762711864,0.576271186440678,0.576271186440678,0.607344632768362,0.677966101694915,0.717514124293785,0.774011299435028,0.805084745762712,0.833333333333333,0.790960451977401,0.711864406779661,0.728813559322034,0.728813559322034,0.742937853107345,0.788135593220339,0.80225988700565,0.779661016949153,0.742937853107345,0.768361581920904,0.751412429378531,0.686440677966102
内蒙古,0.573770491803279,0.567213114754098,0.577049180327869,0.577049180327869,0.573770491803279,0.59344262295082,0.652459016393443,0.681967213114754,0.642622950819672,0.636065573770492,0.642622950819672,0.665573770491803,0.642622950819672,0.636065573770492,0.626229508196721,0.616393442622951,0.642622950819672,0.695081967213115,0.734426229508197,0.704918032786885,0.685245901639344,0.668852459016393,0.642622950819672,0.60655737704918
北京,0.626865671641791,0.58955223880597,0.57089552238806,0.552238805970149,0.552238805970149,0.559701492537313,0.611940298507463,0.67910447761194,0.753731343283582,0.802238805970149,0.828358208955224,0.843283582089552,0.843283582089552,0.813432835820896,0.794776119402985,0.794776119402985,0.817164179104478,0.835820895522388,0.843283582089552,0.847014925373134,0.847014925373134,0.828358208955224,0.779850746268657,0.708955223880597
吉林,0.695075757575758,0.670454545454546,0.666666666666667,0.659090909090909,0.65719696969697,0.71780303030303,0.770833333333333,0.803030303030303,0.823863636363636,0.867424242424242,0.897727272727273,0.922348484848485,0.852272727272727,0.859848484848485,0.869318181818182,0.869318181818182,0.890151515151515,0.916666666666667,0.901515151515151,0.861742424242424,0.899621212121212,0.888257575757576,0.816287878787879,0.751893939393939
四川,0.698630136986301,0.662100456621005,0.639269406392694,0.621004566210046,0.607305936073059,0.600456621004566,0.632420091324201,0.648401826484018,0.700913242009132,0.780821917808219,0.817351598173516,0.881278538812785,0.84703196347032,0.842465753424658,0.860730593607306,0.860730593607306,0.86986301369863,0.86986301369863,0.837899543378995,0.819634703196347,0.815068493150685,0.82648401826484,0.792237442922374,0.73972602739726
天津,0.672311968038909,0.668722135371432,0.650772972034045,0.647183139366568,0.636413641364136,0.643593306699091,0.675901800706386,0.729749290718546,0.783596780730705,0.844623936077818,0.869752764750159,0.876932430085114,0.801545944068091,0.808725609403045,0.841034103410341,0.844623936077818,0.862573099415205,0.851803601412773,0.844623936077818,0.812315442070523,0.808725609403045,0.794366278733136,0.754878119390886,0.693850964043773
宁夏,0.856548856548856,0.841909880194719,0.845980330666395,0.837578360549264,0.835411804783933,0.839483847140815,0.853950899892707,0.84554733789037,0.85377579252005,0.830820807849904,0.814101237531559,0.820253873852649,0.826403326403326,0.830475368760208,0.849098833784898,0.849012871983776,0.861399330771459,0.886261393918362,0.892410846469039,0.888166880509913,0.875606906234778,0.881757950670661,0.86919638451032,0.864950826665987
安徽,0.78989898989899,0.763636363636364,0.753535353535354,0.737373737373737,0.729292929292929,0.751515151515151,0.804040404040404,0.791919191919192,0.791919191919192,0.8,0.785858585858586,0.797979797979798,0.757575757575758,0.75959595959596,0.77979797979798,0.802020202020202,0.838383838383838,0.866666666666667,0.856565656565657,0.856565656565657,0.894949494949495,0.882828282828283,0.852525252525253,0.836363636363636
山东,0.784688995215311,0.767942583732057,0.755980861244019,0.741626794258373,0.727272727272727,0.741626794258373,0.755980861244019,0.751196172248804,0.789473684210526,0.820574162679426,0.849282296650718,0.873205741626794,0.866028708133971,0.868421052631579,0.894736842105263,0.909090909090909,0.906698564593301,0.899521531100479,0.88755980861244,0.875598086124402,0.892344497607655,0.892344497607655,0.873205741626794,0.837320574162679
山西,0.734104046242775,0.73121387283237,0.728323699421965,0.716763005780347,0.710982658959538,0.710982658959538,0.739884393063584,0.777456647398844,0.771676300578035,0.763005780346821,0.739884393063584,0.742774566473988,0.751445086705202,0.719653179190751,0.710982658959538,0.725433526011561,0.748554913294798,0.80635838150289,0.869942196531792,0.864161849710983,0.852601156069364,0.84393063583815,0.817919075144509,0.763005780346821
广东,0.718861209964413,0.693950177935943,0.665480427046263,0.640569395017794,0.615658362989324,0.608540925266904,0.604982206405694,0.619217081850534,0.704626334519573,0.839857651245552,0.879003558718861,0.914590747330961,0.857651245551601,0.829181494661922,0.886120996441281,0.893238434163701,0.903914590747331,0.903914590747331,0.836298932384342,0.836298932384342,0.829181494661922,0.854092526690391,0.836298932384342,0.814946619217082
广西,0.687687687687688,0.645645645645646,0.615615615615616,0.585585585585586,0.570570570570571,0.552552552552553,0.582582582582583,0.621621621621622,0.636636636636637,0.735735735735736,0.774774774774775,0.792792792792793,0.771771771771772,0.75975975975976,0.780780780780781,0.783783783783784,0.804804804804805,0.813813813813814,0.816816816816817,0.786786786786787,0.816816816816817,0.840840840840841,0.840840840840841,0.792792792792793
新疆,0.779369627507163,0.653295128939828,0.521489971346705,0.446991404011461,0.421203438395415,0.418338108882522,0.415472779369628,0.458452722063037,0.590257879656161,0.644699140401146,0.667621776504298,0.736389684813754,0.765042979942693,0.782234957020057,0.744985673352435,0.762177650429799,0.762177650429799,0.842406876790831,0.828080229226361,0.862464183381089,0.862464183381089,0.842406876790831,0.871060171919771,0.931232091690544
江苏,0.304945054945055,0.315934065934066,0.25,0.222527472527472,0.195054945054945,0.236263736263736,0.381868131868132,0.527472527472527,0.620879120879121,0.68956043956044,0.777472527472527,0.728021978021978,0.423076923076923,0.651098901098901,0.752747252747253,0.774725274725275,0.824175824175824,0.791208791208791,0.769230769230769,0.728021978021978,0.64010989010989,0.626373626373626,0.596153846153846,0.423076923076923
江西,0.541202672605791,0.527839643652561,0.503340757238307,0.494432071269488,0.494432071269488,0.55456570155902,0.594654788418708,0.652561247216036,0.703786191536748,0.734966592427617,0.759465478841871,0.714922048997773,0.66815144766147,0.674832962138085,0.690423162583519,0.706013363028953,0.730512249443207,0.763919821826281,0.779510022271715,0.755011135857461,0.699331848552339,0.66369710467706,0.608017817371938,0.55902004454343
河北,0.395973154362416,0.355704697986577,0.322147651006711,0.295302013422819,0.285234899328859,0.338926174496644,0.436241610738255,0.5,0.550335570469799,0.600671140939597,0.614093959731544,0.654362416107383,0.459731543624161,0.453020134228188,0.51006711409396,0.543624161073826,0.624161073825503,0.74496644295302,0.791946308724832,0.76510067114094,0.791946308724832,0.758389261744966,0.651006711409396,0.5
河南,0.720136518771331,0.699658703071672,0.662116040955631,0.645051194539249,0.63481228668942,0.62457337883959,0.617747440273038,0.63481228668942,0.63481228668942,0.699658703071672,0.747440273037543,0.812286689419795,0.853242320819113,0.870307167235495,0.853242320819113,0.829351535836177,0.812286689419795,0.802047781569966,0.784982935153584,0.781569965870307,0.825938566552901,0.849829351535836,0.812286689419795,0.784982935153584
浙江,0.754266211604096,0.719993816222901,0.685721420841707,0.665103280969426,0.647895732004614,0.640927090889632,0.647610326907755,0.68159731719209,0.780430723858677,0.875853539617795,0.926905376318512,0.947240489469741,0.878838401255782,0.923064299389947,0.960466637333365,0.953497996218382,0.9465293551034,0.925908836855312,0.847267840791524,0.816410793069413,0.833332936937366,0.840016172955489,0.850114756632696,0.829494238384607
海南,0.688963210702341,0.645484949832776,0.618729096989967,0.578595317725753,0.551839464882943,0.555183946488294,0.565217391304348,0.565217391304348,0.591973244147157,0.652173913043478,0.695652173913043,0.719063545150502,0.712374581939799,0.749163879598662,0.745819397993311,0.735785953177258,0.722408026755853,0.725752508361204,0.71571906354515,0.678929765886288,0.74247491638796,0.755852842809365,0.775919732441472,0.77257525083612
湖北,0.723342939481268,0.703049426961175,0.702928825103907,0.697046334513552,0.676752821993459,0.662222998234173,0.656338707616097,0.676392816449373,0.702208814015736,0.759725099766536,0.799950319234916,0.831531805589806,0.837174892493344,0.874520067609041,0.868635776990966,0.871397019514101,0.871276417656832,0.85963023830567,0.793227215699122,0.772933703179029,0.844861010859567,0.885086230327947,0.864792717807854,0.830091783413465
湖南,0.563786008230453,0.537037037037037,0.510288065843621,0.491769547325103,0.483539094650206,0.477366255144033,0.510288065843621,0.592592592592593,0.701646090534979,0.781893004115226,0.796296296296296,0.829218106995885,0.814814814814815,0.783950617283951,0.771604938271605,0.763374485596708,0.777777777777778,0.84156378600823,0.858024691358025,0.868312757201646,0.843621399176955,0.814814814814815,0.753086419753086,0.687242798353909
甘肃,0.756521739130435,0.752173913043478,0.73695652173913,0.734782608695652,0.741304347826087,0.728260869565217,0.75,0.789130434782609,0.821739130434783,0.806521739130435,0.817391304347826,0.841304347826087,0.867391304347826,0.819565217391304,0.808695652173913,0.81304347826087,0.817391304347826,0.867391304347826,0.919565217391304,0.880434782608696,0.869565217391304,0.834782608695652,0.817391304347826,0.823913043478261
福建,0.813056379821958,0.780415430267062,0.738872403560831,0.706231454005935,0.691394658753709,0.697329376854599,0.70326409495549,0.71513353115727,0.741839762611276,0.821958456973294,0.86646884272997,0.913946587537092,0.910979228486647,0.881305637982196,0.902077151335312,0.896142433234421,0.896142433234421,0.916913946587537,0.905044510385757,0.884272997032641,0.905044510385757,0.910979228486647,0.931750741839763,0.899109792284866
西藏,0.656183941971065,0.607878748533364,0.58682726701259,0.557390027978916,0.546820743349267,0.546733655610746,0.563416499484599,0.615738812788281,0.699510883592195,0.783281370982682,0.825121487395238,0.83341857375619,0.814465115027067,0.753581285320016,0.738819121933919,0.736635594817172,0.747030703969776,0.772099305356528,0.809748126426061,0.818046796200441,0.916492359238504,0.893342854926077,0.851326979623053,0.758996559242622
贵州,0.59349593495935,0.536585365853659,0.504065040650406,0.493224932249323,0.474254742547426,0.490514905149052,0.528455284552846,0.634146341463415,0.710027100271003,0.78319783197832,0.831978319783198,0.845528455284553,0.823848238482385,0.769647696476965,0.764227642276423,0.785907859078591,0.815718157181572,0.859078590785908,0.902439024390244,0.883468834688347,0.886178861788618,0.924119241192412,0.867208672086721,0.766937669376694
辽宁,0.739376770538244,0.719546742209632,0.705382436260623,0.696883852691218,0.694050991501416,0.702549575070822,0.722379603399433,0.722379603399433,0.725212464589235,0.764872521246459,0.804532577903683,0.818696883852691,0.818696883852691,0.815864022662889,0.813031161473088,0.824362606232295,0.835694050991501,0.844192634560907,0.8328611898017,0.818696883852691,0.801699716713881,0.827195467422096,0.84985835694051,0.813031161473088
重庆,0.732371794871795,0.690705128205128,0.649038461538462,0.623397435897436,0.599358974358974,0.578525641025641,0.565705128205128,0.557692307692308,0.600961538461538,0.690705128205128,0.761217948717949,0.825320512820513,0.842948717948718,0.879807692307692,0.884615384615385,0.884615384615385,0.878205128205128,0.875,0.84775641025641,0.809294871794872,0.794871794871795,0.849358974358974,0.849358974358974,0.794871794871795
陕西,0.725,0.678846153846154,0.655769230769231,0.626923076923077,0.607692307692308,0.611538461538461,0.638461538461539,0.667307692307692,0.709615384615385,0.763461538461538,0.817307692307692,0.844230769230769,0.848076923076923,0.878846153846154,0.875,0.907692307692308,0.921153846153846,0.942307692307692,0.913461538461538,0.888461538461538,0.882692307692308,0.909615384615385,0.9,0.838461538461538
青海,0.587536309925595,0.516196312504264,0.593224548922646,0.610905491805143,0.572204609748882,0.604722376015353,0.726261082585646,0.91011444736862,0.918891400141066,0.794138838537442,0.669384380854149,0.589142289402429,0.586053575627034,0.648243092581779,0.686695588201837,0.647998498304907,0.609297616248646,0.606207006393582,0.686200711409092,0.653436454786085,0.668150032991786,0.561201659448926,0.513600579441945,0.403684841222289
黑龙江,0.586089149624431,0.566813970064148,0.545799660069083,0.542176654421843,0.545510170513734,0.581884971763803,0.712175009594824,0.736378090904107,0.710146389604693,0.71695816656615,0.716813421788475,0.756668677010801,0.709567410493996,0.693770491803279,0.695364877460387,0.702176654421843,0.738553648774604,0.81318931958989,0.820003289654038,0.798986786556281,0.771015954822085,0.732610340479193,0.683769943527606,0.645364329184714
