县编号,0-0.1 负荷密度 出现次数,0-0.1 负荷密度 总和,0.1-1 负荷密度 出现次数,0.1-1 负荷密度 总和,1-6 负荷密度 出现次数,1-6 负荷密度 总和,6-15 负荷密度 出现次数,6-15 负荷密度 总和,15-30 负荷密度 出现次数,15-30 负荷密度 总和,大于30 负荷密度 出现次数,大于30 负荷密度 总和,大于80 负荷密度 出现次数,大于80 负荷密度 总和
1657,0,0.0,98,69.68702380867053,82,105.86431638598478,0,0.0,0,0.0,0,0.0,0,0.0
1658,0,0.0,126,62.646765333279525,18,23.863337935137437,0,0.0,0,0.0,0,0.0,0,0.0
1659,0,0.0,102,77.87534565287314,294,635.5690191814938,0,0.0,0,0.0,0,0.0,0,0.0
1660,0,0.0,772,342.3361583789729,220,454.990973978126,16,121.4605285001908,0,0.0,0,0.0,0,0.0
1661,0,0.0,170,151.21965165418638,82,155.95256262588617,0,0.0,0,0.0,0,0.0,0,0.0
1662,0,0.0,210,150.85177528146778,78,242.21031294777046,0,0.0,0,0.0,0,0.0,0,0.0
1663,0,0.0,248,180.25409683623954,4,6.031356185188256,0,0.0,0,0.0,0,0.0,0,0.0
1664,0,0.0,280,151.3066524627962,80,196.1794178324403,0,0.0,0,0.0,0,0.0,0,0.0
1665,0,0.0,386,209.3171500143279,10,26.16772581146038,0,0.0,0,0.0,0,0.0,0,0.0
1666,0,0.0,468,275.80721327167015,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1667,0,0.0,432,151.55890722262154,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1668,0,0.0,442,106.02768122352576,26,62.54136172564921,0,0.0,0,0.0,0,0.0,0,0.0
1669,0,0.0,514,233.18797199155478,26,35.12021954079642,0,0.0,0,0.0,0,0.0,0,0.0
1670,0,0.0,536,299.641095741925,40,50.09799053000232,0,0.0,0,0.0,0,0.0,0,0.0
1671,0,0.0,250,185.42519944788202,2,2.072660653261263,0,0.0,0,0.0,0,0.0,0,0.0
1672,0,0.0,652,341.2254327290674,32,41.615935601744184,0,0.0,0,0.0,0,0.0,0,0.0
1673,0,0.0,94,40.61096237284262,50,59.1067523877711,0,0.0,0,0.0,0,0.0,0,0.0
1674,0,0.0,38,9.01903811443684,34,50.942516201694175,0,0.0,0,0.0,0,0.0,0,0.0
1675,0,0.0,872,298.7463916704785,136,239.51703945272308,0,0.0,0,0.0,0,0.0,0,0.0
1676,78,4.47657494829039,1362,285.0247352226439,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1677,0,0.0,360,131.41395797423763,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1678,0,0.0,756,397.4255675237524,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1679,0,0.0,682,311.1173520477235,2,2.1328598632330094,0,0.0,0,0.0,0,0.0,0,0.0
1680,485,34.947768211856186,919,111.24181191183946,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1681,0,0.0,316,147.93717084893282,8,11.311208946023328,0,0.0,0,0.0,0,0.0,0,0.0
1682,0,0.0,214,121.75263897729964,2,2.02950701766827,0,0.0,0,0.0,0,0.0,0,0.0
1683,102,9.398648893342582,470,126.6281988451215,4,7.015184358603088,0,0.0,0,0.0,0,0.0,0,0.0
1684,10,0.6177465138048746,818,142.71042992239157,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1685,216,11.351994914658007,684,98.13399723387559,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1686,469,34.331352059061544,359,68.2742858505315,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1687,12,0.939519820650351,420,184.03298867088313,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1688,883,36.481752507044376,161,17.982020837286573,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1689,182,14.399480800387158,682,124.87949835616655,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1690,830,67.36530747588733,574,71.6476650953377,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1691,212,19.357491291623447,1012,145.07969236917458,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1692,70,5.981187809579373,686,142.29004175767048,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1693,0,0.0,198,136.8909518679726,270,335.7024275780869,0,0.0,0,0.0,0,0.0,0,0.0
1694,0,0.0,860,451.5839045480753,40,48.72226010100508,0,0.0,0,0.0,0,0.0,0,0.0
1695,0,0.0,496,273.8153603702358,44,46.165214901096945,0,0.0,0,0.0,0,0.0,0,0.0
1696,0,0.0,628,511.4840986074454,160,196.4571450127283,4,29.317746929425144,0,0.0,0,0.0,0,0.0
1697,1222,67.59597630324085,136,103.56929930155025,10,11.555864965204373,0,0.0,0,0.0,0,0.0,0,0.0
1698,1548,37.317188241453195,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1699,1326,45.551556235930576,42,32.03578934218959,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1700,2808,28.04505707950209,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1701,1872,29.148502935647723,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1702,1908,17.86645999054415,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1703,1908,28.99302546739219,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1704,1404,24.771903460503925,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1705,2340,26.506699573532202,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1706,2160,10.089422061044424,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1707,3528,12.129855550126651,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1708,3600,20.086228051084607,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1709,2844,15.279126790798061,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1710,3512,82.14524177272187,52,5.886763083560411,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1711,598,30.441474298492572,122,15.802748176977795,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1712,1548,17.7639557106259,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1713,1957,36.96076303489877,383,46.527176323880134,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1714,2736,22.30310716933298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1715,2376,15.42421855291925,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1716,1620,7.7093213503737,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1717,2520,10.2321197966527,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1718,2880,10.893601153195984,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1719,3852,9.665360678264149,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1720,3492,14.03037938409752,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1721,7308,7.242410942019254,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1722,2844,7.010130864424913,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1723,4716,17.67461967331768,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1724,2700,15.113032000925932,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1725,1728,11.280625327197402,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1726,2340,11.81732652214952,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1727,900,9.768745481941892,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1728,264,15.407264272760774,478,349.0214530774691,230,292.1511941526712,0,0.0,0,0.0,0,0.0,0,0.0
1729,4294,58.37271721757699,26,3.1273651711534205,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1730,2188,122.78136376768222,482,223.20779211445944,30,36.67839772440785,0,0.0,0,0.0,0,0.0,0,0.0
1731,159,11.75489661741912,517,119.09081250355042,8,11.059536458865114,0,0.0,0,0.0,0,0.0,0,0.0
1732,6,0.5014891522935497,1542,502.3610114294577,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1733,16,1.3420781351278812,1028,261.0963375397635,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
